Date,Open,High,Low,Close,Volume
11/29/2023,383.76,384.3,377.44,378.85,"28,963,400"
11/28/2023,378.35,383,378.16,382.7,"20,453,109"
11/27/2023,376.78,380.64,376.2,378.61,"22,179,230"
11/24/2023,377.33,377.97,375.14,377.43,"10,176,650"
11/22/2023,378,379.79,374.97,377.85,"23,361,180"
11/21/2023,375.67,376.22,371.12,373.07,"28,423,150"
11/20/2023,371.22,378.87,371,377.44,"52,528,961"
11/17/2023,373.61,374.37,367,369.85,"40,325,367"
11/16/2023,370.96,376.35,370.18,376.17,"27,182,320"
11/15/2023,371.28,373.13,367.11,369.67,"26,860,100"
11/14/2023,371.01,371.95,367.35,370.27,"27,683,859"
11/13/2023,368.22,368.47,365.9,366.68,"19,986,510"
11/10/2023,361.49,370.1,361.07,369.67,"28,065,160"
11/09/2023,362.3,364.79,360.36,360.69,"24,847,330"
11/08/2023,361.68,363.87,360.55,363.2,"26,767,830"
11/07/2023,359.4,362.46,357.63,360.53,"25,833,930"
11/06/2023,353.45,357.54,353.35,356.53,"23,828,301"
11/03/2023,349.63,354.39,347.33,352.8,"23,637,670"
11/02/2023,347.24,348.83,344.77,348.32,"24,348,070"
11/01/2023,339.79,347.42,339.65,346.07,"28,158,820"
10/31/2023,338.85,339,334.69,338.11,"20,265,279"
10/30/2023,333.41,339.45,331.83,337.31,"22,828,080"
10/27/2023,330.43,336.72,328.4,329.81,"29,856,520"
10/26/2023,340.54,341.63,326.94,327.89,"37,828,539"
10/25/2023,345.02,346.2,337.62,340.67,"55,053,832"
10/24/2023,331.3,331.84,327.6,330.53,"31,153,570"
10/23/2023,325.47,332.73,324.39,329.32,"24,374,750"
10/20/2023,331.72,331.92,325.45,326.67,"25,027,721"
10/19/2023,332.15,336.88,330.91,331.32,"25,052,070"
10/18/2023,332.49,335.59,328.3,330.11,"23,153,600"
10/17/2023,329.59,333.46,327.41,332.06,"18,338,520"
10/16/2023,331.05,336.14,330.6,332.64,"22,158,051"
10/13/2023,332.38,333.83,326.36,327.73,"21,085,699"
10/12/2023,330.57,333.63,328.72,331.16,"19,313,100"
10/11/2023,331.21,332.82,329.14,332.42,"20,063,250"
10/10/2023,330.96,331.1,327.67,328.39,"20,557,090"
10/09/2023,324.75,330.3,323.18,329.82,"19,891,180"
10/06/2023,316.55,329.19,316.3,327.26,"25,673,631"
10/05/2023,319.09,319.98,314.9,319.36,"16,965,631"
10/04/2023,314.03,320.04,314,318.96,"20,720,141"
10/03/2023,320.83,321.39,311.22,313.39,"21,033,490"
10/02/2023,316.28,321.89,315.18,321.8,"20,570,010"
09/29/2023,317.75,319.47,314.98,315.75,"24,147,301"
09/28/2023,310.99,315.48,309.45,313.64,"19,683,561"
09/27/2023,312.3,314.3,309.69,312.79,"19,410,080"
09/26/2023,315.13,315.88,310.02,312.14,"26,297,570"
09/25/2023,316.59,317.67,315,317.54,"17,835,961"
09/22/2023,321.32,321.45,316.15,317.01,"21,447,891"
09/21/2023,319.26,325.35,315,319.53,"35,560,359"
09/20/2023,329.51,329.59,320.51,320.77,"21,436,529"
